Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0,Mon Jul 30 08:54:06 +0000 2018,1,0,0,Probe into Flight 370 mystery highlights shortcomings https://t.co/QDhqzL31qi https://t.co/nviwU4L6Ah,76,@CBSNews
0.4215,Mon Jul 30 08:48:04 +0000 2018,0.781,0,0.219,Homeless man saved woman who jumped from Minneapolis bridge https://t.co/VgqHj1yf4L https://t.co/cwhPkFbMDh,77,@CBSNews
0,Mon Jul 30 08:33:05 +0000 2018,1,0,0,Tourism on the Galapagos Islands https://t.co/XTybehEVfE https://t.co/G0rJvZG59X,78,@CBSNews
0,Mon Jul 30 08:18:05 +0000 2018,1,0,0,"Giuliani says feds have 183 recordings made by Michael Cohen, Trump heard on 1 https://t.co/QpD3TgrFJq https://t.co/wjYXNP78UA",79,@CBSNews
0.6369,Mon Jul 30 08:03:04 +0000 2018,0.679,0,0.321,Richest people in the world: Forbes' top 20 billionaires of 2018 https://t.co/X3jzgOeh1c https://t.co/oa4vXG5I90,80,@CBSNews
-0.0516,Mon Jul 30 07:48:03 +0000 2018,0.615,0.2,0.185,Trump threatens government shutdown over border security votes https://t.co/lKuX0TNjB7 https://t.co/XQuTv7heFF,81,@CBSNews
0.0516,Mon Jul 30 07:33:02 +0000 2018,0.882,0,0.118,John Kelly reaches 1-year anniversary in West Wing https://t.co/2M1kwOF8JN https://t.co/Un6CHslIjK,82,@CBSNews
-0.128,Mon Jul 30 07:24:05 +0000 2018,0.593,0.222,0.185,Washington Nationals' Trea Turner apologizes for offensive tweets https://t.co/KHCmMXd1I0 https://t.co/3s8Xus9tua,83,@CBSNews
-0.7906,Mon Jul 30 07:18:05 +0000 2018,0.462,0.538,0,"New Orleans shooting leaves 3 dead, 7 injured https://t.co/uZFMT3fQ1t https://t.co/decP1Eq6j4",84,@CBSNews
0,Mon Jul 30 07:03:04 +0000 2018,1,0,0,New York Times publisher asked Trump to tamp down anti-press rhetoric at White House meeting https://t.co/EoyvgAN6JV https://t.co/mNebUlPJ5l,85,@CBSNews
-0.5994,Mon Jul 30 06:48:04 +0000 2018,0.719,0.281,0,Death toll rises to 91 in deadly Greece wildfire https://t.co/CNkkwtFnNw https://t.co/GhIuWOemDt,86,@CBSNews
0,Mon Jul 30 06:33:03 +0000 2018,1,0,0,The story of the My Pillow king https://t.co/GqkLqY8CPa https://t.co/iywQKMrVhW,87,@CBSNews
-0.2732,Mon Jul 30 06:24:06 +0000 2018,0.63,0.228,0.142,Company agrees to block 3D-downloadable guns in Pennsylvania https://t.co/khUeACg2G0 https://t.co/kDkiWWOwDl,88,@CBSNews
0.5574,Mon Jul 30 06:18:04 +0000 2018,0.581,0,0.419,Can money buy happiness? https://t.co/MIYv21d79K https://t.co/xH6Ezay2gj,89,@CBSNews
0,Mon Jul 30 06:03:03 +0000 2018,1,0,0,An exhibition of workers at the National Portrait Gallery https://t.co/hjezZmU9De https://t.co/vLrC7q2CLH,90,@CBSNews
-0.4939,Mon Jul 30 05:48:04 +0000 2018,0.775,0.225,0,Rescuing destroyed cash at the U.S. Mint's Mutilated Currency Division https://t.co/OXBqL57Nxh https://t.co/as85AKBRHl,91,@CBSNews
0.4215,Mon Jul 30 05:33:04 +0000 2018,0.741,0,0.259,Salma Hayek Pinault on charity and activism https://t.co/ExDR53rlTJ https://t.co/Uy8bsEQ3vS,92,@CBSNews
-0.8176,Mon Jul 30 05:18:04 +0000 2018,0.516,0.484,0,Polar bear killed after attacking cruise ship employee https://t.co/7f6cOgSyhF https://t.co/WItugor1Vk,93,@CBSNews
0,Mon Jul 30 05:03:03 +0000 2018,1,0,0,Universal basic income: Will it work? https://t.co/Qw6wbxndiX https://t.co/b23mCiMHg4,94,@CBSNews
0,Mon Jul 30 04:48:06 +0000 2018,1,0,0,"Sen. Shaheen says senators targeted in ""widespread"" hacking attempts https://t.co/WH4eQGzXGq https://t.co/gOovntqdeP",95,@CBSNews
0,Mon Jul 30 04:33:03 +0000 2018,1,0,0,Animal influencers: How pets earn big bucks as Instagram stars https://t.co/6RVHgbY1uT https://t.co/WNTmd1eM47,96,@CBSNews
-0.4404,Mon Jul 30 04:18:04 +0000 2018,0.818,0.182,0,Trump backers stand by president in face of Russia criticism â€” CBS poll https://t.co/eTsGrOArbw https://t.co/2Qwej5cj0t,97,@CBSNews
0.6369,Mon Jul 30 04:10:05 +0000 2018,0.769,0,0.231,"LeBron James says opening school will be among his ""greatest moments"" in life https://t.co/ySm22n6aPK https://t.co/1OIxreQYLo",98,@CBSNews
-0.5423,Mon Jul 30 04:03:04 +0000 2018,0.774,0.226,0,Minneapolis police release bodycam videos in fatal shooting of black man https://t.co/xuuK0moFTG https://t.co/x26mnR0Tk7,99,@CBSNews
0,Mon Jul 30 03:50:55 +0000 2018,1,0,0,Underwear is being transformed by technology -- with high-performance briefs claiming to do everything from emittinâ€_ https://t.co/hPqcEvQHG2,0,@CNN
-0.4215,Mon Jul 30 03:48:07 +0000 2018,0.55,0.312,0.138,Police fire tear gas at protesters during state funeral for Ethiopia's Grand Dam engineer https://t.co/i4rdDMSENx https://t.co/CpPWCEnq6T,1,@CNN
0.4118,Mon Jul 30 03:43:06 +0000 2018,0.761,0.082,0.156,"Asking a woman about her work-life balance can be problematic, but she should use the opportunity to discuss the neâ€_ https://t.co/VcC8QAtOGS",2,@CNN
-0.3182,Mon Jul 30 03:42:05 +0000 2018,0.766,0.145,0.089,"Trump lawyer Rudy Giuliani once praised Michael Cohen as 'honest,' but now says Cohen has 'lied all his life'â€_ https://t.co/vb6KOviiw0",3,@CNN
-0.5423,Mon Jul 30 03:41:58 +0000 2018,0.844,0.156,0,The CBS board of directors will discuss allegations of sexual harassment against CEO Les Moonves at a meeting on Moâ€_ https://t.co/pRFA6rxuJK,4,@CNN
-0.4215,Mon Jul 30 03:34:06 +0000 2018,0.823,0.177,0,Trump's 2020 campaign denies reports that it is producing flags in China https://t.co/KhyQAykUbd https://t.co/7vVW9Foza1,5,@CNN
0,Mon Jul 30 03:33:05 +0000 2018,1,0,0,What you need to know about 'stand your ground' laws https://t.co/r2GaqhoOaV https://t.co/uoB69LnthQ,6,@CNN
-0.0258,Mon Jul 30 03:33:05 +0000 2018,0.595,0.204,0.201,Recep Tayyip Erdogan denies that Turkey has agreed to free a detained American pastor as part of a possible deal wiâ€_ https://t.co/HwQV1nfthi,7,@CNN
-0.1531,Mon Jul 30 03:24:05 +0000 2018,0.727,0.15,0.123,Palestinian teenage activist Ahed Tamimi has been freed from an Israeli prison after serving an eight-month prisonâ€_ https://t.co/dktybvi8Cs,8,@CNN
-0.128,Mon Jul 30 03:23:53 +0000 2018,0.923,0.077,0,"Russia put on a show of its naval might on Sunday, sending 40 warships through waters near St. Petersburgâ€_ https://t.co/gNyKxLL0dg",9,@CNN
-0.5423,Mon Jul 30 03:16:03 +0000 2018,0.8,0.2,0,Three new polls show bad news for Republicans ahead of the midterm elections https://t.co/SUJ6M7bR0s https://t.co/DspQVbY2cs,10,@CNN
-0.4404,Mon Jul 30 03:06:03 +0000 2018,0.854,0.146,0,"20 times that Trump and his allies denied he knew of the 2016 Trump Tower meeting https://t.co/e00pkKmpCW https://t.co/MgBftuGCNW",11,@CNN
-0.128,Mon Jul 30 02:57:06 +0000 2018,0.93,0.07,0,A city once known as America's foreclosure capital will become the first in the US to participate in a test of Univâ€_ https://t.co/IGvIMKUmQa,12,@CNN
0,Mon Jul 30 02:50:05 +0000 2018,1,0,0,The Trump administration wants to roll back the Endangered Species Act. These 10 animals might not be here today wiâ€_ https://t.co/RUe43h5Wif,13,@CNN
-0.802,Mon Jul 30 02:44:04 +0000 2018,0.647,0.353,0,"A police officer in Meridian, Mississippi, has been fired after using his stun gun against a handcuffed suspect durâ€_ https://t.co/RFfMAyxC5b",14,@CNN
-0.296,Mon Jul 30 02:36:07 +0000 2018,0.855,0.145,0,A zoo is accused of painting a donkey and passing it off as a zebra https://t.co/DoETle11Qq https://t.co/UToHC1YvIw,15,@CNN
0.1027,Mon Jul 30 02:29:06 +0000 2018,0.667,0.153,0.18,Here's how to help the victims of the Greece wildfires https://t.co/SukveA8dLc https://t.co/o31vUTikXl,16,@CNN
-0.3612,Mon Jul 30 02:22:07 +0000 2018,0.894,0.106,0,Police have responded to at least 125 calls in the past five years alleging sex offenses at shelters that house immâ€_ https://t.co/7KKjpzKxO4,17,@CNN
-0.4215,Mon Jul 30 02:14:28 +0000 2018,0.872,0.128,0,"A teen broke into a home in California shortly after midnight and woke a sleeping couple to ask to use their Wi-Fi,â€_ https://t.co/w7K3FonBYI",18,@CNN
-0.8316,Mon Jul 30 01:00:08 +0000 2018,0.709,0.291,0,A German cruise line is facing outrage after one of its employees shot and killed a wild polar bear in Norway afterâ€_ https://t.co/SHM9Cu1UlL,19,@CNN
0,Mon Jul 30 00:45:10 +0000 2018,1,0,0,Don't pack your bags for Mars just yet https://t.co/aIRZA5OdUv https://t.co/9OnzFTzmg0,20,@CNN
-0.4404,Mon Jul 30 00:30:11 +0000 2018,0.854,0.146,0,"20 times that Trump and his allies denied he knew of the 2016 Trump Tower meeting https://t.co/CxWp3Hw2TM https://t.co/dtQ8F8u52Y",21,@CNN
-0.3182,Mon Jul 30 00:15:06 +0000 2018,0.766,0.145,0.089,"Trump lawyer Rudy Giuliani once praised Michael Cohen as 'honest,' but now says Cohen has 'lied all his life'â€_ https://t.co/BRg8Pa0fAd",22,@CNN
-0.5106,Mon Jul 30 00:00:07 +0000 2018,0.705,0.216,0.079,"The United Nations has verified 7,000 cases of children either killed or maimed in Syria's seven-year war, but saysâ€_ https://t.co/idGE0niLzI",23,@CNN
-0.765,Sun Jul 29 23:45:10 +0000 2018,0.72,0.28,0,Palestinian teen activist Ahed Tamimi has been released from an Israeli prison after serving an 8-month prison sentâ€_ https://t.co/YK7TzV1dIW,24,@CNN
0.4019,Sun Jul 29 23:44:36 +0000 2018,0.863,0,0.137,"Civil rights icon Rep. John Lewis released from hospital with a clean bill of health, his spokeswoman saysâ€_ https://t.co/OAv2I7tXpy",25,@CNN
0,Sun Jul 29 23:30:06 +0000 2018,1,0,0,There are 100 days to the midterm election. Here's what to watch: https://t.co/zEcaQMqZen https://t.co/3zcbjwxVVL,26,@CNN
0,Sun Jul 29 23:15:06 +0000 2018,1,0,0,"2018 is on pace to be the fourth hottest year on record, according to data from the National Oceanic and Atmospheriâ€_ https://t.co/5O78he0ELj",27,@CNN
0.8689,Sun Jul 29 23:04:37 +0000 2018,0.682,0,0.318,Justice Ruth Bader Ginsburg says she hopes to stay on the Supreme Court at least five more years until the age of 9â€_ https://t.co/b7GWr3AJky,28,@CNN
0,Sun Jul 29 23:00:05 +0000 2018,1,0,0,A 12-year-old boy who can't speak wrote a book with his eyes https://t.co/keZdphbHau https://t.co/NFx0OB1QHj,29,@CNN
-0.3818,Sun Jul 29 22:45:13 +0000 2018,0.867,0.133,0,President Trump threatens to push the government into shutdown ahead of the coming appropriations deadline if Congrâ€_ https://t.co/HkUFzmjXF8,30,@CNN
0.9032,Sun Jul 29 22:30:03 +0000 2018,0.653,0,0.347,"North Korea may be taking some steps to keep its promises, but they will likely come at great cost to the United Stâ€_ https://t.co/NHhYo086W7",31,@CNN
-0.9517,Sun Jul 29 22:15:06 +0000 2018,0.467,0.533,0,"A man arrested in connection to a bi-coastal crime spree that involved murder, rape and holding a woman captive useâ€_ https://t.co/PNs68ZvV9F",32,@CNN
